img_id,tag_list,rating
7446434,"['godzilla (series)', 'toho (film company)', 'shin godzilla', 'godzilla', 'high resolution', 'parody', 'movie poster', '1girl', 'beach', 'bioluminescence', 'energy', 'fake movie poster', 'female', 'glowing', 'night', 'noger chen', 'ocean']", Safe
7446432,"['kantai collection', 'hatsuzuki (kantai collection)', 'nuka (nvkka)', 'high resolution', 'speech bubble', 'dated', 'twitter username', '1girl', 'alcohol', 'beer', 'black bodysuit', 'black neckwear', 'black sailor collar', 'blush', 'bodysuit', 'brown hair', 'corset', 'drink', 'eating', 'eyebrows visible through hair', 'female', 'food', 'glass', 'hachimaki', 'hair flaps', 'headband', 'heart', 'looking at viewer', 'neckerchief', 'sailor collar', 'school uniform', 'serafuku', 'short hair', 'short sleeves', 'smile', 'solo', 'text on clothes', 'upper body', 'yakitori', 'yellow eyes']", Safe
7446428,"['girls und panzer', 'akiyama yukari', 'itsumi erika', 'kay (girls und panzer)', 'ooarai military uniform', 'high resolution', 'monochrome', 'comic', 'greyscale', '4koma', '3girls', 'blush', 'bomber jacket', 'female', 'jacket', 'long hair', 'long sleeves', 'messy hair', 'multiple girls', 'pleated skirt', 'poop', 'short hair', 'skirt', 'sparkle', 'sutahiro (donta)']", Safe
7446431,"['spider-man (series)', 'marvel', 'spider-man', 'symbiote', 'she-venom', 'ann weying', 'high resolution', 'very high resolution', 'realistic', '2018', '1boy', '1girl', 'ass', 'blue eyes', 'breasts', 'claws', 'eyelashes', 'female', 'ji zhang', 'lens flare', 'lens flare abuse', 'lips', 'long tongue', 'looking at viewer', 'looking back', 'making of', 'male', 'medium breasts', 'night', 'nose', 'open mouth', 'saliva', 'sharp teeth', 'sideboob', 'skin tight', 'slime', 'solo focus', 'standing', 'superhero', 'teeth', 'tongue', 'tongue out', 'transformation', 'white hair']", Questionable
7446430,"['original', 'boar', 'muku (muku-coffee)', 'high resolution', '2019', '1girl', 'animal', 'animal ear fluff', 'animal ears', 'animal hug', 'bangs', 'bell', 'blush', 'cat girl', 'cat tail', 'cherry blossom print', 'chinese zodiac', ':d', 'eyebrows visible through hair', 'female', 'floral print', 'hair between eyes', 'hairclip', 'hair ornament', 'happy new year', 'jingle bell', 'kimono', 'long hair', 'looking at viewer', 'nekomimi', 'new year', 'notice lines', 'open mouth', 'print kimono', 'raised tail', 'red eyes', 'red kimono', 'red ribbon', 'ribbon', 'shiro (mononobe koshoten kaikitan)', 'silver hair', 'smile', 'solo', 'tail', 'wafuku', 'year of the pig']", Safe
7446427,"['girls frontline', 'm4a1 (girls frontline)', '1girl', 'bandana', 'black hair', 'blonde', 'blue sky', 'brown eyes', 'closed mouth', 'cloud', 'dirty face', 'eyebrows visible through hair', 'female', 'green hair', 'hair between eyes', 'highlights', 'mod3 (girls frontline)', 'multicolored hair', 'skull print', 'sky', 'solo', 'sunset']", Safe
7446425,"['original', 'houtengeki', 'high resolution', 'dated', 'abstract background', '1girl', 'bare shoulders', 'blonde', 'bracelet', 'breasts', 'cleavage', 'elf', 'female', 'forehead jewel', 'green eyes', 'green ribbon', 'hair ornament', 'jewelry', 'large breasts', 'long hair', 'looking at viewer', 'navel', 'pointed ears', 'revealing clothes', 'ribbon', 'sideboob', 'sidelocks', 'smile', 'solo', 'tassel', 'underboob', 'upper body', 'veil']", Questionable
7446436,"['original', 'futomomomoe', 'censored', 'artist name', 'mosaic censoring', '2girls', 'all fours', 'animal ears', 'anus', 'armchair', 'ass', 'back', 'back-seamed legwear', 'barefoot', 'bed', 'bedroom', 'black hair', 'black legwear', 'bunny ears', 'bunny tail', 'carving', 'chair', 'cup', 'curtains', 'drinking glass', 'facing away', 'feet', 'female', 'fingering', 'full body', 'girl on top', 'indoors', 'jewelry', 'kerosene lamp', 'knees up', 'lamp', 'lipstick', 'long hair', 'lying', 'makeup', 'masturbation', 'mole', 'multiple girls', 'no shoes', 'nude', 'on back', 'on bed', 'pillow', 'red hair', 'red lipstick', 'ring', 'seamed legwear', 'shiny', 'shiny skin', 'soles', 'spread legs', 'stirrup legwear', 'straddling', 'tail', 'thighhighs', 'thighs', 'toeless legwear', 'vagina', 'yuri']", Explicit
7446422,"['ronindude', 'high resolution', 'very high resolution', 'character sheet', 'commission', '1girl', 'against wall', 'axe', 'backpack', 'bag', 'blonde', 'blood', 'bloody weapon', 'blue skirt', 'breasts', 'brown eyes', 'brown hair', 'building', 'cable', 'cerra romero', 'cleavage', 'digital media player', 'earbuds', 'earphones', 'female', 'front-tie top', 'green skin', 'holding', 'holding weapon', 'knees together feet apart', 'lips', 'lipstick', 'lowleg skirt', 'makeup', 'medium breasts', 'midriff', 'multicolored hair', 'navel', 'nose', 'plaid', 'plaid skirt', 'pleated skirt', 'ponytail', 'pov', 'raised eyebrow', 'randosel', 'short ponytail', 'skirt', 'skyscraper', 'sleeveless', 'slender waist', 'solo focus', 'streaked hair', 'stuffed animal', 'stuffed bunny', 'stuffed toy', 'tanned', 'tied hair', 'two-tone hair', 'viewed from below', 'watch', 'weapon', 'wristwatch', 'year of the dead', 'zombie']", Safe
7446426,"['original', 'reydart', 'high resolution', 'green background', 'patreon username', 'commission', '1girl', 'ahoge', 'barefoot', 'bare legs', 'blonde', 'blue eyes', 'breasts', 'clavicle', 'contrapposto', 'crossed legs', 'eyebrows', 'eyelashes', 'facing viewer', 'feet', 'female', 'full body', 'hair between eyes', 'knees', 'large breasts', 'legs', 'lipstick', 'long hair', 'looking at viewer', 'makeup', 'messy hair', 'naked shirt', 'nose', 'off shoulder', 'oversized clothes', 'pinup', 'shirt', 'shirt tug', 'smile', 'solo', 'standing', 'thick eyebrows', 'thigh gap', 'toes', 't-shirt']", Safe
